Code postal 2015	Libellé poste	Population 2012 desservie par le code postal	Population 2012 desservie par le code géo PMSI	Code géographique PMSI 2015	"* Mayotte et Polynésie Française Recensement quinquennal 2012/ Wallis et Futuna Recensement quinquennal 2013/ Nouvelle-Calédonie Recensement quinquennal 2009


"
71700	TOURNUS	 9 982	 9 982	71700	
71710	MONTCENIS	 5 038	 5 038	71710	
71740	ST MAURICE LES CHATEAUNEUF	 1 733	 1 733	71740	
71760	ISSY L EVEQUE	 1 621	 1 621	71760	
71800	LA CLAYETTE	 8 603	 8 603	71800	
71850	CHARNAY LES MACON	 6 874	 6 874	71850	
71870	HURIGNY	 3 018	 3 018	71870	
71880	CHATENOY LE ROYAL	 6 071	 6 071	71880	
71960	PRISSE	 10 521	 10 521	71960	
71990	LA GRANDE VERRIERE	 1 354	 1 354	71990	
